_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
62272,NONE,Indoor recreation room,YES,YES,YES,YES,YES,Not Available,10.0,153.0,"FEB 2, 2017",,,,FULL REPLACEMENT - MCE,REPLACED,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1972.0,HOT WATER,YES,YES,NO,YES,YES,TBD,TBD,NO,5.0,6.0,2.0,12.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6S,,YES,,TCHC,REAR OF BUILDING,4155922.0,NO,NO,NO,3725  DUNDAS ST W,YES,YES,1972.0,YES,BOTH,4,SINGLE PANE,1972.0,1992.0,2017.0,,,,,,,,
62273,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,YES,YES,YES,Not Available,15.0,201.0,"FEB 15, 2016",,,,FULL REPLACEMENT - MCE,REPLACED,YES,NO,Green Bin / Organics,YES,YES,REAR OF BUILDING,ORIGINAL,1971.0,HOT WATER,YES,YES,NO,YES,YES,TBD,MAIN FLOOR,NO,5.0,10.0,3.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1T,,YES,,TCHC,REAR OF BUILDING,4155942.0,NO,NO,NO,2743  VICTORIA PARK AVE ,YES,YES,1971.0,YES,BOTH,22,DOUBLE PANE,1971.0,1997.0,2017.0,,,,,,,,
62274,INDIVIDUAL UNITS,,YES,YES,YES,YES,NO,Not Available,4.0,15.0,,,,,,,NO,NO,Recycling bins,YES,NO,,REPLACED,2018.0,HOT WATER,NO,YES,NO,NO,YES,24/7,GROUND FLOOR ,YES,0.0,,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M4B,,YES,GREENWIN CORP.,PRIVATE,BY GARBAGE BINS,4155950.0,NO,YES,NO,5  STAG HILL DR ,YES,YES,2012.0,,UNAVAILABLE,19,DOUBLE PANE,1953.0,,2018.0,,,,,,,,
62275,NONE,,YES,NO,YES,YES,YES,Not Available,15.0,100.0,"SEP 21, 2020",,,,ELEVATOR MODERNIZATION,REPLACED,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1969.0,HOT WATER,YES,YES,NO,YES,YES,24 HOURS,SECOND FLOOR,NO,100.0,0.0,2.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2R,,YES,,PRIVATE,NORTH SIDE OF BUILDING,4155962.0,NO,YES,NO,1085  STEELES AVE W,NO,,,YES,FREE,6,DOUBLE PANE,1969.0,2015.0,2017.0,,,,,,,,
62276,NONE,,YES,NO,YES,NO,NO,Not Available,3.0,25.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,,ORIGINAL,1997.0,HOT WATER,NO,YES,YES,YES,YES,7:00 AM - 11 PM,BASEMENT,NO,0.0,0.0,0.0,8.0,NO,YES,Surface Parking,M8W,,YES,,SOCIAL HOUSING,,4156001.0,NO,YES,NO,15  FORTY THIRD ST ,YES,YES,1953.0,,FREE,3,DOUBLE PANE,1953.0,,2017.0,,,,,,,,
62277,CENTRAL AIR,"Outdoor pool , Outdoor rec facilities , Sauna",YES,YES,YES,YES,YES,67 indoor parking spots and 8 outdoor parking spots,28.0,216.0,"SEP 28, 2016",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,BEHIND BUILDINGS,ORIGINAL,1969.0,HOT WATER,NO,YES,YES,YES,YES,8:00AM - 10:00PM,GROUND FLOOR,YES,0.0,2.0,3.0,20.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4T,NON-AGGRESSIVE,YES,QUADREAL PROPERTY GROUP,PRIVATE,BEHIND BUILDINGS,4156003.0,NO,YES,NO,33  ROSEHILL AVE ,YES,YES,1969.0,YES,FREE,12,DOUBLE PANE,1969.0,,2017.0,,,,,,,,
62278,NONE,,YES,YES,YES,YES,NO,Not Available,7.0,169.0,"JUN 11, 2015",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,MIDDLE EAST SIDE,REPLACED,1995.0,HOT WATER,NO,YES,NO,NO,YES,9 AM TO 10 PM,FIRST & SECOND FLOOR,YES,0.0,0.0,2.0,18.0,YES,YES,"Ground Level Garage , Surface Parking",M1K,,NO,WALL REAL ESTATE,PRIVATE,MIDDLE EAST SIDE,4152685.0,NO,YES,NO,2303  EGLINTON AVE E,YES,YES,2000.0,YES,BOTH,20,DOUBLE PANE,1968.0,,2017.0,,,,,,,,
62279,NONE,,NO,NO,YES,YES,YES,Not Available,7.0,118.0,"MAR 15, 2017",,,,,REPLACED,,NO,Recycling bins,YES,YES,,REPLACED,2005.0,HOT WATER,NO,YES,NO,NO,YES,8:00 AM - 10:00 PM,GROUND FLOOR,NO,0.0,1.0,2.0,15.0,NO,YES,"Ground Level Garage , Surface Parking",M1K,,YES,MARBROOK DEVELOPMENTS LTD. ,PRIVATE,EAST SIDE OF PROPERTY,4152686.0,NO,NO,NO,2293  EGLINTON AVE E,YES,NO,1960.0,NO,FREE,20,DOUBLE PANE,1960.0,2013.0,2017.0,,,,,,,,
62280,NONE,,YES,YES,YES,YES,YES,Not Available,5.0,34.0,"DEC 16, 2016",,,,,ORIGINAL,,YES,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,1998.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,BASEMENT,NO,1.0,35.0,1.0,5.0,YES,YES,"Underground Garage , Ground Level Garage , Carport , Surface Parking",M1K,APARTMENT FRIENDLY,YES,MPC PROPERTIES INC.,PRIVATE,OUTDOOR,4152704.0,NO,NO,NO,807  KENNEDY RD ,YES,YES,2014.0,YES,UNAVAILABLE,21,DOUBLE PANE,1969.0,,2017.0,,,,,,,,
62281,NONE,,YES,NO,YES,YES,NO,Not Available,6.0,62.0,"OCT 15, 2014",,,,,REPLACED,YES,NO,Recycling bins,YES,NO,,REPLACED,1995.0,HOT WATER,NO,YES,NO,YES,YES,7:00 AM - 10:00 PM,SECOND FLOOR,YES,0.0,0.0,1.0,12.0,NO,YES,"Ground Level Garage , Surface Parking",M1K,LEGAL BREEDS ONLY,YES,508 DAWES RD. LTD.,PRIVATE,PARKING LOT,4152706.0,NO,NO,NO,819  KENNEDY RD ,YES,YES,1961.0,YES,UNAVAILABLE,21,DOUBLE PANE,1961.0,2005.0,2017.0,,,,,,,,
